SNO,Values,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10,Value 11,Value 12,Value 13
18,4108.422276,4126.928683,4145.435089,4163.941496,4182.447903,4200.954309,4219.460716,4237.967123,4256.473529,4274.979936,4293.486342,4311.992749,4330.499156
19,4349.005562,4367.511969,4386.018376,4404.524782,4423.031189,4441.537596,4460.044002,4478.550409,4497.056816,4515.563222,4534.069629,4552.576036,4571.082442
20,4589.588849,4608.095256,4626.601662,4645.108069,4663.614475,4682.120882,4700.627289,4719.133695,4737.640102,4756.146509,4774.652915,4793.159322,4811.665729
21,4830.172135,4848.678542,4867.184949,4885.691355,4904.197762,4922.704169,4941.210575,4959.716982,4978.223388,4996.729795,5015.236202,5033.742608,5052.249015
22,5070.755422,5089.261828,5107.768235,5126.274642,5144.781048,5163.287455,5181.793862,5200.300268,5218.806675,5237.313082,5255.819488,5274.325895,5292.832302
23,5311.338708,5329.845115,5348.351521,5366.857928,5385.364335,5403.870741,5422.377148,5440.883555,5459.389961,5477.896368,5496.402775,5514.909181,5533.415588
24,5551.921995,5570.428401,5588.934808,5607.441215,5625.947621,5644.454028,5662.960434,5681.466841,5699.973248,5718.479654,5736.986061,5755.492468,5773.998874
25,5792.505281,5811.011688,5829.518094,5848.024501,5866.530908,5885.037314,5903.543721,5922.050128,5940.556534,5959.062941,5977.569348,5996.075754,6014.582161
26,6033.088567,6051.594974,6070.101381,6088.607787,6107.114194,6125.620601,6144.127007,6162.633414,6181.139821,6199.646227,6218.152634,6236.659041,6255.165447
27,6273.671854,6292.178261,6310.684667,6329.191074,6347.69748,6366.203887,6384.710294,6403.2167,6421.723107,6440.229514,6458.73592,6477.242327,6495.748734
28,6514.25514,6532.761547,6551.267954,6569.77436,6588.280767,6606.787174,6625.29358,6643.799987,6662.306394,6680.8128,6699.319207,6717.825613,6736.33202
29,6754.838427,6773.344833,6791.85124,6810.357647,6828.864053,6847.37046,6865.876867,6884.383273,6902.88968,6921.396087,6939.902493,6958.4089,6976.915307
30,6995.421713,7013.92812,7032.434526,7050.940933,7069.44734,7087.953746,7106.460153,7124.96656,7143.472966,7161.979373,7180.48578,7198.992186,7217.498593
31,7236.005,7254.511406,7273.017813,7291.52422,7310.030626,7328.537033,7347.04344,7365.549846,7384.056253,7402.562659,7421.069066,7439.575473,7458.081879
32,7476.588286,7495.094693,7513.601099,7532.107506,7550.613913,7569.120319,7587.626726,7606.133133,7624.639539,7643.145946,7661.652353,7680.158759,7698.665166
33,7717.171572,7735.677979,7754.184386,7772.690792,7791.197199,7809.703606,7828.210012,7846.716419,7865.222826,7883.729232,7902.235639,7920.742046,7939.248452
34,7957.754859,7976.261266,7994.767672,8013.274079,8031.780486,8050.286892,8068.793299,8087.299705,8105.806112,8124.312519,8142.818925,8161.325332,8179.831739
35,8198.338145,8216.844552,8235.350959,8253.857365,8272.363772,8290.870179,8309.376585,8327.882992,8346.389399,8364.895805,8383.402212,8401.908618,8420.415025
36,8438.921432,8457.427838,8475.934245,8494.440652,8512.947058,8531.453465,8549.959872,8568.466278,8586.972685,8605.479092,8623.985498,8642.491905,8660.998312
37,8679.504718,8698.011125,8716.517532,8735.023938,8753.530345,8772.036751,8790.543158,8809.049565,8827.555971,8846.062378,8864.568785,8883.075191,8901.581598
38,8920.088005,8938.594411,8957.100818,8975.607225,8994.113631,9012.620038,9031.126445,9049.632851,9068.139258,9086.645664,9105.152071,9123.658478,9142.164884
39,9160.671291,9179.177698,9197.684104,9216.190511,9234.696918,9253.203324,9271.709731,9290.216138,9308.722544,9327.228951,9345.735358,9364.241764,9382.748171
40,9401.254577,9419.760984,9438.267391,9456.773797,9475.280204,9493.786611,9512.293017,9530.799424,9549.305831,9567.812237,9586.318644,9604.825051,9623.331457
41,9641.837864,9660.344271,9678.850677,9697.357084,9715.863491,9734.369897,9752.876304,9771.38271,9789.889117,9808.395524,9826.90193,9845.408337,9863.914744
42,9882.42115,9900.927557,9919.433964,9937.94037,9956.446777,9974.953184,9993.45959,10011.966,10030.4724,10048.97881,10067.48522,10085.99162,10104.49803
43,10123.00444,10141.51084,10160.01725,10178.52366,10197.03006,10215.53647,10234.04288,10252.54928,10271.05569,10289.5621,10308.0685,10326.57491,10345.08132
44,10363.58772,10382.09413,10400.60054,10419.10694,10437.61335,10456.11976,10474.62616,10493.13257,10511.63898,10530.14538,10548.65179,10567.1582,10585.6646
45,10604.17101,10622.67742,10641.18382,10659.69023,10678.19664,10696.70304,10715.20945,10733.71586,10752.22226,10770.72867,10789.23508,10807.74148,10826.24789
46,10844.7543,10863.2607,10881.76711,10900.27352,10918.77992,10937.28633,10955.79274,10974.29914,10992.80555,11011.31196,11029.81836,11048.32477,11066.83118
47,11085.33758,11103.84399,11122.3504,11140.8568,11159.36321,11177.86962,11196.37602,11214.88243,11233.38884,11251.89524,11270.40165,11288.90806,11307.41446
48,11325.92087,11344.42728,11362.93368,11381.44009,11399.9465,11418.4529,11436.95931,11455.46572,11473.97212,11492.47853,11510.98494,11529.49134,11547.99775
49,11566.50416,11585.01056,11603.51697,11622.02338,11640.52978,11659.03619,11677.5426,11696.049,11714.55541,11733.06182,11751.56822,11770.07463,11788.58104
50,11807.08744,11825.59385,11844.10026,11862.60666,11881.11307,11899.61948,11918.12588,11936.63229,11955.1387,11973.6451,11992.15151,12010.65791,12029.16432
51,12047.67073,12066.17713,12084.68354,12103.18995,12121.69635,12140.20276,12158.70917,12177.21557,12195.72198,12214.22839,12232.73479,12251.2412,12269.74761
52,12288.25401,12306.76042,12325.26683,12343.77323,12362.27964,12380.78605,12399.29245,12417.79886,12436.30527,12454.81167,12473.31808,12491.82449,12510.33089
53,12528.8373,12547.34371,12565.85011,12584.35652,12602.86293,12621.36933,12639.87574,12658.38215,12676.88855,12695.39496,12713.90137,12732.40777,12750.91418
54,12769.42059,12787.92699,12806.4334,12824.93981,12843.44621,12861.95262,12880.45903,12898.96543,12917.47184,12935.97825,12954.48465,12972.99106,12991.49747
55,13010.00387,13028.51028,13047.01669,13065.52309,13084.0295,13102.53591,13121.04231,13139.54872,13158.05513,13176.56153,13195.06794,13213.57435,13232.08075
56,13250.58716,13269.09357,13287.59997,13306.10638,13324.61279,13343.11919,13361.6256,13380.13201,13398.63841,13417.14482,13435.65123,13454.15763,13472.66404
57,13491.17045,13509.67685,13528.18326,13546.68967,13565.19607,13583.70248,13602.20889,13620.71529,13639.2217,13657.72811,13676.23451,13694.74092,13713.24733
58,13731.75373,13750.26014,13768.76655,13787.27295,13805.77936,13824.28577,13842.79217,13861.29858,13879.80499,13898.31139,13916.8178,13935.32421,13953.83061
59,13972.33702,13990.84343,14009.34983,14027.85624,14046.36265,14064.86905,14083.37546,14101.88187,14120.38827,14138.89468,14157.40109,14175.90749,14194.4139
60,14212.92031,14231.42671,14249.93312,14268.43953,14286.94593,14305.45234,14323.95875,14342.46515,14360.97156,14379.47797,14397.98437,14416.49078,14434.99719
61,14453.50359,14472.01,14490.51641,14509.02281,14527.52922,14546.03563,14564.54203,14583.04844,14601.55485,14620.06125,14638.56766,14657.07407,14675.58047
62,14694.08688,14712.59329,14731.09969,14749.6061,14768.11251,14786.61891,14805.12532,14823.63173,14842.13813,14860.64454,14879.15095,14897.65735,14916.16376
63,14934.67017,14953.17657,14971.68298,14990.18939,15008.69579,15027.2022,15045.70861,15064.21501,15082.72142,15101.22783,15119.73423,15138.24064,15156.74705
64,15175.25345,15193.75986,15212.26627,15230.77267,15249.27908,15267.78549,15286.29189,15304.7983,15323.30471,15341.81111,15360.31752,15378.82393,15397.33033
65,15415.83674,15434.34314,15452.84955,15471.35596,15489.86236,15508.36877,15526.87518,15545.38158,15563.88799,15582.3944,15600.9008,15619.40721,15637.91362
66,15656.42002,15674.92643,15693.43284,15711.93924,15730.44565,15748.95206,15767.45846,15785.96487,15804.47128,15822.97768,15841.48409,15859.9905,15878.4969
67,15897.00331,15915.50972,15934.01612,15952.52253,15971.02894,15989.53534,16008.04175,16026.54816,16045.05456,16063.56097,16082.06738,16100.57378,16119.08019
68,16137.5866,16156.093,16174.59941,16193.10582,16211.61222,16230.11863,16248.62504,16267.13144,16285.63785,16304.14426,16322.65066,16341.15707,16359.66348
69,16378.16988,16396.67629,16415.1827,16433.6891,16452.19551,16470.70192,16489.20832,16507.71473,16526.22114,16544.72754,16563.23395,16581.74036,16600.24676
70,16618.75317,16637.25958,16655.76598,16674.27239,16692.7788,16711.2852,16729.79161,16748.29802,16766.80442,16785.31083,16803.81724,16822.32364,16840.83005
71,16859.33646,16877.84286,16896.34927,16914.85568,16933.36208,16951.86849,16970.3749,16988.8813,17007.38771,17025.89412,17044.40052,17062.90693,17081.41334
72,17099.91974,17118.42615,17136.93256,17155.43896,17173.94537,17192.45178,17210.95818,17229.46459,17247.971,17266.4774,17284.98381,17303.49022,17321.99662
73,17340.50303,17359.00944,17377.51584,17396.02225,17414.52866,17433.03506,17451.54147,17470.04788,17488.55428,17507.06069,17525.5671,17544.0735,17562.57991
74,17581.08632,17599.59272,17618.09913,17636.60554,17655.11194,17673.61835,17692.12476,17710.63116,17729.13757,17747.64398,17766.15038,17784.65679,17803.1632
75,17821.6696,17840.17601,17858.68242,17877.18882,17895.69523,17914.20164,17932.70804,17951.21445,17969.72086,17988.22726,18006.73367,18025.24008,18043.74648
76,18062.25289,18080.7593,18099.2657,18117.77211,18136.27852,18154.78492,18173.29133,18191.79774,18210.30414,18228.81055,18247.31696,18265.82336,18284.32977
77,18302.83618,18321.34258,18339.84899,18358.3554,18376.8618,18395.36821,18413.87462,18432.38102,18450.88743,18469.39384,18487.90024,18506.40665,18524.91306
78,18543.41946,18561.92587,18580.43228,18598.93868,18617.44509,18635.9515,18654.4579,18672.96431,18691.47072,18709.97712,18728.48353,18746.98994,18765.49634
79,18784.00275,18802.50915,18821.01556,18839.52197,18858.02837,18876.53478,18895.04119,18913.54759,18932.054,18950.56041,18969.06681,18987.57322,19006.07963
80,19024.58603,19043.09244,19061.59885,19080.10525,19098.61166,19117.11807,19135.62447,19154.13088,19172.63729,19191.14369,19209.6501,19228.15651,19246.66291
81,19265.16932,19283.67573,19302.18213,19320.68854,19339.19495,19357.70135,19376.20776,19394.71417,19413.22057,19431.72698,19450.23339,19468.73979,19487.2462
82,19505.75261,19524.25901,19542.76542,19561.27183,19579.77823,19598.28464,19616.79105,19635.29745,19653.80386,19672.31027,19690.81667,19709.32308,19727.82949
83,19746.33589,19764.8423,19783.34871,19801.85511,19820.36152,19838.86793,19857.37433,19875.88074,19894.38715,19912.89355,19931.39996,19949.90637,19968.41277
84,19986.91918,20005.42559,20023.93199,20042.4384,20060.94481,20079.45121,20097.95762,20116.46403,20134.97043,20153.47684,20171.98325,20190.48965,20208.99606
85,20227.50247,20246.00887,20264.51528,20283.02169,20301.52809,20320.0345,20338.54091,20357.04731,20375.55372,20394.06013,20412.56653,20431.07294,20449.57935
86,20468.08575,20486.59216,20505.09857,20523.60497,20542.11138,20560.61779,20579.12419,20597.6306,20616.13701,20634.64341,20653.14982,20671.65623,20690.16263
87,20708.66904,20727.17545,20745.68185,20764.18826,20782.69467,20801.20107,20819.70748,20838.21389,20856.72029,20875.2267,20893.73311,20912.23951,20930.74592
88,20949.25233,20967.75873,20986.26514,21004.77155,21023.27795,21041.78436,21060.29077,21078.79717,21097.30358,21115.80999,21134.31639,21152.8228,21171.32921
89,21189.83561,21208.34202,21226.84843,21245.35483,21263.86124,21282.36765,21300.87405,21319.38046,21337.88687,21356.39327,21374.89968,21393.40609,21411.91249
90,21430.4189,21448.92531,21467.43171,21485.93812,21504.44453,21522.95093,21541.45734,21559.96375,21578.47015,21596.97656,21615.48297,21633.98937,21652.49578
91,21671.00219,21689.50859,21708.015,21726.52141,21745.02781,21763.53422,21782.04063,21800.54703,21819.05344,21837.55985,21856.06625,21874.57266,21893.07907
92,21911.58547,21930.09188,21948.59829,21967.10469,21985.6111,22004.11751,22022.62391,22041.13032,22059.63673,22078.14313,22096.64954,22115.15595,22133.66235
93,22152.16876,22170.67517,22189.18157,22207.68798,22226.19438,22244.70079,22263.2072,22281.7136,22300.22001,22318.72642,22337.23282,22355.73923,22374.24564
94,22392.75204,22411.25845,22429.76486,22448.27126,22466.77767,22485.28408,22503.79048,22522.29689,22540.8033,22559.3097,22577.81611,22596.32252,22614.82892
95,22633.33533,22651.84174,22670.34814,22688.85455,22707.36096,22725.86736,22744.37377,22762.88018,22781.38658,22799.89299,22818.3994,22836.9058,22855.41221
96,22873.91862,22892.42502,22910.93143,22929.43784,22947.94424,22966.45065,22984.95706,23003.46346,23021.96987,23040.47628,23058.98268,23077.48909,23095.9955
97,23114.5019,23133.00831,23151.51472,23170.02112,23188.52753,23207.03394,23225.54034,23244.04675,23262.55316,23281.05956,23299.56597,23318.07238,23336.57878
98,23355.08519,23373.5916,23392.098,23410.60441,23429.11082,23447.61722,23466.12363,23484.63004,23503.13644,23521.64285,23540.14926,23558.65566,23577.16207
99,23595.66848,23614.17488,23632.68129,23651.1877,23669.6941,23688.20051,23706.70692,23725.21332,23743.71973,23762.22614,23780.73254,23799.23895,23817.74536
100,23836.25176,23854.75817,23873.26458,23891.77098,23910.27739,23928.7838,23947.2902,23965.79661,23984.30302,24002.80942,24021.31583,24039.82224,24058.32864
101,24076.83505,24095.34146,24113.84786,24132.35427,24150.86068,24169.36708,24187.87349,24206.3799,24224.8863,24243.39271,24261.89912,24280.40552,24298.91193
102,24317.41834,24335.92474,24354.43115,24372.93756,24391.44396,24409.95037,24428.45678,24446.96318,24465.46959,24483.976,24502.4824,24520.98881,24539.49522
103,24558.00162,24576.50803,24595.01444,24613.52084,24632.02725,24650.53366,24669.04006,24687.54647,24706.05288,24724.55928,24743.06569,24761.5721,24780.0785
104,24798.58491,24817.09132,24835.59772,24854.10413,24872.61054,24891.11694,24909.62335,24928.12976,24946.63616,24965.14257,24983.64898,25002.15538,25020.66179
105,25039.1682,25057.6746,25076.18101,25094.68742,25113.19382,25131.70023,25150.20664,25168.71304,25187.21945,25205.72586,25224.23226,25242.73867,25261.24508
106,25279.75148,25298.25789,25316.7643,25335.2707,25353.77711,25372.28352,25390.78992,25409.29633,25427.80274,25446.30914,25464.81555,25483.32196,25501.82836
107,25520.33477,25538.84118,25557.34758,25575.85399,25594.3604,25612.8668,25631.37321,25649.87961,25668.38602,25686.89243,25705.39883,25723.90524,25742.41165
108,25760.91805,25779.42446,25797.93087,25816.43727,25834.94368,25853.45009,25871.95649,25890.4629,25908.96931,25927.47571,25945.98212,25964.48853,25982.99493
109,26001.50134,26020.00775,26038.51415,26057.02056,26075.52697,26094.03337,26112.53978,26131.04619,26149.55259,26168.059,26186.56541,26205.07181,26223.57822
110,26242.08463,26260.59103,26279.09744,26297.60385,26316.11025,26334.61666,26353.12307,26371.62947,26390.13588,26408.64229,26427.14869,26445.6551,26464.16151
111,26482.66791,26501.17432,26519.68073,26538.18713,26556.69354,26575.19995,26593.70635,26612.21276,26630.71917,26649.22557,26667.73198,26686.23839,26704.74479
112,26723.2512,26741.75761,26760.26401,26778.77042,26797.27683,26815.78323,26834.28964,26852.79605,26871.30245,26889.80886,26908.31527,26926.82167,26945.32808
113,26963.83449,26982.34089,27000.8473,27019.35371,27037.86011,27056.36652,27074.87293,27093.37933,27111.88574,27130.39215,27148.89855,27167.40496,27185.91137
114,27204.41777,27222.92418,27241.43059,27259.93699,27278.4434,27296.94981,27315.45621,27333.96262,27352.46903,27370.97543,27389.48184,27407.98825,27426.49465
115,27445.00106,27463.50747,27482.01387,27500.52028,27519.02669,27537.53309,27556.0395,27574.54591,27593.05231,27611.55872,27630.06513,27648.57153,27667.07794
116,27685.58435,27704.09075,27722.59716,27741.10357,27759.60997,27778.11638,27796.62279,27815.12919,27833.6356,27852.14201,27870.64841,27889.15482,27907.66123
117,27926.16763,27944.67404,27963.18045,27981.68685,28000.19326,28018.69967,28037.20607,28055.71248,28074.21889,28092.72529,28111.2317,28129.73811,28148.24451
118,28166.75092,28185.25733,28203.76373,28222.27014,28240.77655,28259.28295,28277.78936,28296.29577,28314.80217,28333.30858,28351.81499,28370.32139,28388.8278
119,28407.33421,28425.84061,28444.34702,28462.85343,28481.35983,28499.86624,28518.37265,28536.87905,28555.38546,28573.89187,28592.39827,28610.90468,28629.41109
120,28647.91749,28666.4239,28684.93031,28703.43671,28721.94312,28740.44953,28758.95593,28777.46234,28795.96875,28814.47515,28832.98156,28851.48797,28869.99437
121,28888.50078,28907.00719,28925.51359,28944.02,28962.52641,28981.03281,28999.53922,29018.04563,29036.55203,29055.05844,29073.56484,29092.07125,29110.57766
122,29129.08406,29147.59047,29166.09688,29184.60328,29203.10969,29221.6161,29240.1225,29258.62891,29277.13532,29295.64172,29314.14813,29332.65454,29351.16094
123,29369.66735,29388.17376,29406.68016,29425.18657,29443.69298,29462.19938,29480.70579,29499.2122,29517.7186,29536.22501,29554.73142,29573.23782,29591.74423
124,29610.25064,29628.75704,29647.26345,29665.76986,29684.27626,29702.78267,29721.28908,29739.79548,29758.30189,29776.8083,29795.3147,29813.82111,29832.32752
125,29850.83392,29869.34033,29887.84674,29906.35314,29924.85955,29943.36596,29961.87236,29980.37877,29998.88518,30017.39158,30035.89799,30054.4044,30072.9108
126,30091.41721,30109.92362,30128.43002,30146.93643,30165.44284,30183.94924,30202.45565,30220.96206,30239.46846,30257.97487,30276.48128,30294.98768,30313.49409
127,30332.0005,30350.5069,30369.01331,30387.51972,30406.02612,30424.53253,30443.03894,30461.54534,30480.05175,30498.55816,30517.06456,30535.57097,30554.07738
128,30572.58378,30591.09019,30609.5966,30628.103,30646.60941,30665.11582,30683.62222,30702.12863,30720.63504,30739.14144,30757.64785,30776.15426,30794.66066
129,30813.16707,30831.67348,30850.17988,30868.68629,30887.1927,30905.6991,30924.20551,30942.71192,30961.21832,30979.72473,30998.23114,31016.73754,31035.24395
130,31053.75036,31072.25676,31090.76317,31109.26958,31127.77598,31146.28239,31164.7888,31183.2952,31201.80161,31220.30802,31238.81442,31257.32083,31275.82724
131,31294.33364,31312.84005,31331.34646,31349.85286,31368.35927,31386.86568,31405.37208,31423.87849,31442.3849,31460.8913,31479.39771,31497.90412,31516.41052
132,31534.91693,31553.42334,31571.92974,31590.43615,31608.94256,31627.44896,31645.95537,31664.46178,31682.96818,31701.47459,31719.981,31738.4874,31756.99381
133,31775.50022,31794.00662,31812.51303,31831.01944,31849.52584,31868.03225,31886.53866,31905.04506,31923.55147,31942.05788,31960.56428,31979.07069,31997.5771
134,32016.0835,32034.58991,32053.09632,32071.60272,32090.10913,32108.61554,32127.12194,32145.62835,32164.13476,32182.64116,32201.14757,32219.65398,32238.16038
135,32256.66679,32275.1732,32293.6796,32312.18601,32330.69242,32349.19882,32367.70523,32386.21164,32404.71804,32423.22445,32441.73086,32460.23726,32478.74367
136,32497.25007,32515.75648,32534.26289,32552.76929,32571.2757,32589.78211,32608.28851,32626.79492,32645.30133,32663.80773,32682.31414,32700.82055,32719.32695
137,32737.83336,32756.33977,32774.84617,32793.35258,32811.85899,32830.36539,32848.8718,32867.37821,32885.88461,32904.39102,32922.89743,32941.40383,32959.91024
138,32978.41665,32996.92305,33015.42946,33033.93587,33052.44227,33070.94868,33089.45509,33107.96149,33126.4679,33144.97431,33163.48071,33181.98712,33200.49353
139,33218.99993,33237.50634,33256.01275,33274.51915,33293.02556,33311.53197,33330.03837,33348.54478,33367.05119,33385.55759,33404.064,33422.57041,33441.07681
140,33459.58322,33478.08963,33496.59603,33515.10244,33533.60885,33552.11525,33570.62166,33589.12807,33607.63447,33626.14088,33644.64729,33663.15369,33681.6601
141,33700.16651,33718.67291,33737.17932,33755.68573,33774.19213,33792.69854,33811.20495,33829.71135,33848.21776,33866.72417,33885.23057,33903.73698,33922.24339
142,33940.74979,33959.2562,33977.76261,33996.26901,34014.77542,34033.28183,34051.78823,34070.29464,34088.80105,34107.30745,34125.81386,34144.32027,34162.82667
143,34181.33308,34199.83949,34218.34589,34236.8523,34255.35871,34273.86511,34292.37152,34310.87793,34329.38433,34347.89074,34366.39715,34384.90355,34403.40996
144,34421.91637,34440.42277,34458.92918,34477.43559,34495.94199,34514.4484,34532.95481,34551.46121,34569.96762,34588.47403,34606.98043,34625.48684,34643.99325
145,34662.49965,34681.00606,34699.51247,34718.01887,34736.52528,34755.03169,34773.53809,34792.0445,34810.55091,34829.05731,34847.56372,34866.07013,34884.57653
146,34903.08294,34921.58935,34940.09575,34958.60216,34977.10857,34995.61497,35014.12138,35032.62779,35051.13419,35069.6406,35088.14701,35106.65341,35125.15982
147,35143.66623,35162.17263,35180.67904,35199.18545,35217.69185,35236.19826,35254.70467,35273.21107,35291.71748,35310.22389,35328.73029,35347.2367,35365.74311
148,35384.24951,35402.75592,35421.26233,35439.76873,35458.27514,35476.78155,35495.28795,35513.79436,35532.30077,35550.80717,35569.31358,35587.81999,35606.32639
149,35624.8328,35643.33921,35661.84561,35680.35202,35698.85843,35717.36483,35735.87124,35754.37765,35772.88405,35791.39046,35809.89687,35828.40327,35846.90968
150,35865.41609,35883.92249,35902.4289,35920.9353,35939.44171,35957.94812,35976.45452,35994.96093,36013.46734,36031.97374,36050.48015,36068.98656,36087.49296
151,36105.99937,36124.50578,36143.01218,36161.51859,36180.025,36198.5314,36217.03781,36235.54422,36254.05062,36272.55703,36291.06344,36309.56984,36328.07625
152,36346.58266,36365.08906,36383.59547,36402.10188,36420.60828,36439.11469,36457.6211,36476.1275,36494.63391,36513.14032,36531.64672,36550.15313,36568.65954
153,36587.16594,36605.67235,36624.17876,36642.68516,36661.19157,36679.69798,36698.20438,36716.71079,36735.2172,36753.7236,36772.23001,36790.73642,36809.24282
154,36827.74923,36846.25564,36864.76204,36883.26845,36901.77486,36920.28126,36938.78767,36957.29408,36975.80048,36994.30689,37012.8133,37031.3197,37049.82611
155,37068.33252,37086.83892,37105.34533,37123.85174,37142.35814,37160.86455,37179.37096,37197.87736,37216.38377,37234.89018,37253.39658,37271.90299,37290.4094
156,37308.9158,37327.42221,37345.92862,37364.43502,37382.94143,37401.44784,37419.95424,37438.46065,37456.96706,37475.47346,37493.97987,37512.48628,37530.99268
157,37549.49909,37568.0055,37586.5119,37605.01831,37623.52472,37642.03112,37660.53753,37679.04394,37697.55034,37716.05675,37734.56316,37753.06956,37771.57597
158,37790.08238,37808.58878,37827.09519,37845.6016,37864.108,37882.61441,37901.12082,37919.62722,37938.13363,37956.64004,37975.14644,37993.65285,38012.15926
159,38030.66566,38049.17207,38067.67848,38086.18488,38104.69129,38123.1977,38141.7041,38160.21051,38178.71692,38197.22332,38215.72973,38234.23614,38252.74254
160,38271.24895,38289.75536,38308.26176,38326.76817,38345.27458,38363.78098,38382.28739,38400.7938,38419.3002,38437.80661,38456.31302,38474.81942,38493.32583
161,38511.83224,38530.33864,38548.84505,38567.35146,38585.85786,38604.36427,38622.87068,38641.37708,38659.88349,38678.3899,38696.8963,38715.40271,38733.90912
162,38752.41552,38770.92193,38789.42834,38807.93474,38826.44115,38844.94756,38863.45396,38881.96037,38900.46678,38918.97318,38937.47959,38955.986,38974.4924
163,38992.99881,39011.50522,39030.01162,39048.51803,39067.02444,39085.53084,39104.03725,39122.54366,39141.05006,39159.55647,39178.06288,39196.56928,39215.07569
164,39233.5821,39252.0885,39270.59491,39289.10132,39307.60772,39326.11413,39344.62053,39363.12694,39381.63335,39400.13975,39418.64616,39437.15257,39455.65897
165,39474.16538,39492.67179,39511.17819,39529.6846,39548.19101,39566.69741,39585.20382,39603.71023,39622.21663,39640.72304,39659.22945,39677.73585,39696.24226
166,39714.74867,39733.25507,39751.76148,39770.26789,39788.77429,39807.2807,39825.78711,39844.29351,39862.79992,39881.30633,39899.81273,39918.31914,39936.82555
167,39955.33195,39973.83836,39992.34477,40010.85117,40029.35758,40047.86399,40066.37039,40084.8768,40103.38321,40121.88961,40140.39602,40158.90243,40177.40883
168,40195.91524,40214.42165,40232.92805,40251.43446,40269.94087,40288.44727,40306.95368,40325.46009,40343.96649,40362.4729,40380.97931,40399.48571,40417.99212
169,40436.49853,40455.00493,40473.51134,40492.01775,40510.52415,40529.03056,40547.53697,40566.04337,40584.54978,40603.05619,40621.56259,40640.069,40658.57541
170,40677.08181,40695.58822,40714.09463,40732.60103,40751.10744,40769.61385,40788.12025,40806.62666,40825.13307,40843.63947,40862.14588,40880.65229,40899.15869
171,40917.6651,40936.17151,40954.67791,40973.18432,40991.69073,41010.19713,41028.70354,41047.20995,41065.71635,41084.22276,41102.72917,41121.23557,41139.74198
172,41158.24839,41176.75479,41195.2612,41213.76761,41232.27401,41250.78042,41269.28683,41287.79323,41306.29964,41324.80605,41343.31245,41361.81886,41380.32527
173,41398.83167,41417.33808,41435.84449,41454.35089,41472.8573,41491.36371,41509.87011,41528.37652,41546.88293,41565.38933,41583.89574,41602.40215,41620.90855
